id,source_db,smiles,name,cas,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,be_litfsi_kcal,be_polysulfide_kcal,diffusion,density,molecular_weight,melting_point_c,boiling_point_c,family,doi,license,notes
CB-0000,ComBat,CCCS(=O)(=O)CCC,DPS,598-03-8,nan,nan,32.62,5432.0,nan,nan,nan,nan,-29.67281336,-31.74096887,nan,1.112,150.24,29.5,270.0,Sulfone,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0001,ComBat,COP(=O)(OC)OC,TMP,512-56-1,nan,nan,21.26,1.8905,nan,nan,nan,nan,-25.3274459,-25.32943515,nan,1.2144,140.07,-46.16111111,197.1722222,Phosphate,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0002,ComBat,CCS(=O)(=O)C,EMS,594-43-4,nan,nan,57.5,4750000.0,nan,nan,nan,nan,-31.15865821,-26.88348202,nan,1.1638,108.16,34.44444444,239.0,Sulfone,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0003,ComBat,CC(C)S(=O)(=O)C,IPMS,4853-74-1,nan,nan,nan,nan,nan,nan,nan,nan,-30.95003852,-30.06721017,nan,1.053,122.19,16.0,224.8,Sulfone,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0004,ComBat,CN1CCN(C1=O)C,DMI,80-73-9,29.0,nan,37.6,2.07,nan,nan,nan,nan,-35.21213959,-34.38893246,nan,1.05161,114.15,8.2,221.0,Azole,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0005,ComBat,C(C(F)(F)F)OP(OCC(F)(F)F)OCC(F)(F)F,TTFP,370-69-4,nan,nan,nan,nan,nan,nan,nan,nan,-27.67372961,-29.86378828,nan,1.4866,328.07,nan,130.5,Phosphite,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0006,ComBat,CCOP(=O)(OCC)OCC,TEP,78-40-0,nan,nan,12.94,1.46,nan,nan,nan,nan,-29.02638902,-28.83391432,nan,1.068,182.15,-56.43888889,214.95,Phosphate,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0007,ComBat,C(COCC(F)(F)F)OCC(F)(F)F,DTFEG,80054-75-7,nan,nan,nan,1.4,nan,nan,nan,nan,-32.73967299,-26.35165518,nan,1.34,226.12,nan,nan,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0008,ComBat,C1CCS(=O)(=O)C1,SL,126-33-0,14.8,nan,44.0,10.34,nan,nan,nan,nan,-30.43562553,-29.44900441,nan,1.26,120.17,26.06111111,284.95,Sulfone,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0009,ComBat,CCCN(CCC)S(=O)(=O)C(F)(F)F,DPT,1242695-00-6,nan,nan,nan,nan,nan,nan,nan,nan,-25.69080465,-23.99396242,nan,1.2,233.25,nan,209.6,Sulfonamide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0010,ComBat,CS(=O)C,DMSO,67-68-5,30.0,nan,46.5,2.47,nan,nan,nan,nan,-35.05840456,-32.25975886,7.3e-06,1.101,78.14,18.45,188.8388889,Sulfoxide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0011,ComBat,CN(C)S(=O)(=O)C(F)(F)F,DMT,28048-17-1,nan,nan,23.0,1.48,nan,nan,nan,nan,-24.420070676934337,-22.59446318290927,nan,1.382,177.15,-39.6,120.0,Sulfonamide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0012,ComBat,CCS(=O)(=O)C(C)C,EIPS,4853-75-2,nan,nan,nan,4.0,nan,nan,nan,nan,-33.43059205,-28.2464636,nan,1.09,136.21,-6.25,90.5,Sulfone,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0013,ComBat,CCCCOCCCC,DBE,142-96-1,18.1,nan,3.08,0.69,nan,nan,nan,nan,-27.71558684,-25.52212071,nan,0.767,130.23,-97.82777778,142.1722222,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0014,ComBat,CCOC(C(F)F)(F)F,ETFE,512-51-6,nan,nan,nan,486.0,nan,nan,nan,nan,-22.17350702,-19.74736061,nan,1.1951,146.08,nan,57.5,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0015,ComBat,COC(C(F)(F)F)C(F)(F)F,HFME,13171-18-1,nan,nan,nan,498.0,nan,nan,nan,nan,-21.86380987,-19.76313598,nan,1.3802,182.06,nan,50.0,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0016,ComBat,CCOCC(C(F)F)(F)F,ETTFPE,,nan,nan,nan,nan,nan,nan,nan,nan,-25.84439661,-24.22709954,nan,1.166,160.11,nan,86.0,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0017,ComBat,C(C(F)(F)F)OC(C(F)F)(F)F,TFETFE,406-78-0,nan,nan,nan,nan,nan,nan,nan,nan,-18.19718746,-18.01520499,nan,1.4789,200.05,-85.9,56.2,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0018,ComBat,CCCOCC,EPE,628-32-0,nan,nan,nan,nan,nan,nan,nan,nan,-26.5101958,-26.76108688,nan,0.7305,88.15,-127.5,63.2,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0019,ComBat,C(C(C(C(C(F)F)(F)F)(F)F)(F)F)OC(C(F)F)(F)F,OFE,16627-71-7,nan,nan,nan,nan,nan,nan,nan,nan,-19.64808289,-18.74161564,nan,1.6621,332.09,nan,133.0,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0020,ComBat,C(COC(C(F)F)(F)F)OC(C(F)F)(F)F,TFEE,358-39-4,nan,nan,nan,nan,nan,nan,nan,nan,-22.10741914,-21.93211982,nan,1.4726,262.1,nan,86.0,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0021,ComBat,CCCOC(C(F)F)(F)F,TFEPE,380-48-3,nan,nan,nan,nan,nan,nan,nan,nan,-21.35874387,-21.89631383,nan,1.1549,160.11,nan,71.7,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0022,ComBat,C[Si](C)(C)C(F)(F)F,TFMTMS,81290-20-2,nan,nan,nan,nan,nan,nan,nan,nan,-7.308357778,-8.719318097,nan,1.0,142.19,nan,49.3,Silane,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0023,ComBat,CC(C)COC(C(F)F)(F)F,TFEIBE,18180-34-2,nan,nan,nan,nan,nan,nan,nan,nan,-20.61769869,-16.44017178,nan,1.1022,174.14,nan,41.0,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0024,ComBat,C(C(F)(F)F)OCC(F)(F)F,BTFE,333-36-8,nan,nan,nan,636.0,nan,nan,nan,nan,-23.33049762,-22.44949536,nan,1.3667,182.06,-150.4,63.9,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0025,ComBat,C1CCCCC1,CYCLOHEXANE,110-82-7,0.0,nan,2.02,0.977,nan,nan,nan,nan,-9.458535297,-10.65320631,1.42e-05,0.779,84.16,6.45,80.67222222,Nonpolar,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0026,ComBat,CCCOCC(F)(F)F,TFEP,,nan,nan,nan,nan,nan,nan,nan,nan,-24.0382262,-23.31433758,nan,1.1,142.12,nan,72.6,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0027,ComBat,CCCOCC(F)F,DFEP,372-83-8,nan,nan,nan,nan,nan,nan,nan,nan,-24.72344356,-24.00756843,nan,1.0,124.13,nan,90.0,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0028,ComBat,CC1=CC=CC=C1,TOLUENE,108-88-3,0.1,nan,2.38,1.165,nan,nan,nan,nan,-18.6345974,-19.4285179,2.27e-05,0.867,92.14,-95.05,110.5611111,Nonpolar,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0029,ComBat,C(COC(C(F)F)(F)F)COC(C(F)F)(F)F,FDE,138845-14-4,nan,nan,nan,nan,nan,nan,nan,nan,-25.07397192,-21.74833007,nan,1.4273,276.12,nan,95.0,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0030,ComBat,C(C(C(F)F)(F)F)OC(C(F)F)(F)F,TTE,16627-68-2,nan,nan,nan,nan,nan,nan,nan,nan,-19.3012996,-19.78953975,nan,1.5323,232.07,nan,94.0,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0031,ComBat,C(C(C(F)(F)F)(F)F)OC(C(F)F)(F)F,TPE,50807-74-4,nan,nan,nan,nan,nan,nan,nan,nan,-18.92003377,-17.56346111,nan,1.5299,250.06,nan,68.0,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0032,ComBat,CN(C)C=O,DMF,68-12-2,26.5,nan,38.0,0.802,nan,nan,nan,nan,-29.67090443,-29.72794024,1.63e-05,0.95,73.09,-61.16111111,148.8388889,Formamide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0033,ComBat,COCCOCC(F)(F)F,TFEG,123525-89-3,nan,nan,nan,nan,nan,nan,nan,nan,-34.96617836,-34.7194415,nan,1.1,158.12,nan,101.3,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0034,ComBat,CC(C)CC(CO)O,PEGDME,87760-51-8; 91049-45-5; 24347-54-4; 72110-08-8,nan,nan,nan,nan,nan,nan,nan,nan,-34.46496536,-25.86171255,nan,0.938,118.17,nan,112.25,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0035,ComBat,CCCCOCCOCCOCCCC,DEGDBE,112-73-2,nan,nan,nan,2.16,nan,nan,nan,nan,-28.02027005,-28.53965431,nan,0.885,218.33,-60.05,256.0611111,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0036,ComBat,CCOCCOCCOCC,EEE,112-36-7,nan,nan,5.7,1.268,nan,nan,nan,nan,-25.11395724,-24.44911251,nan,0.9063,162.23,-44.32777778,188.8388889,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0037,ComBat,CCOS(=O)OCC,DES,623-81-4,nan,nan,15.9,nan,nan,nan,nan,nan,-36.70998525,-30.79988478,nan,1.0704,138.19,nan,158.0,Sulfite,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0038,ComBat,CC(=O)N(C)C,DMA,127-19-5,27.8,nan,38.3,0.92,nan,nan,nan,nan,-33.85827157,-32.35006985,nan,0.943,87.12,-20.05,164.95,Acetamide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0039,ComBat,CN1C=CN=C1,MEIM,616-47-7,nan,nan,nan,1.77,nan,nan,nan,nan,-29.54923659,-30.69665491,nan,1.031,82.1,-60.0,195.5,Azole,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0040,ComBat,CC(=O)NC,NMA,79-16-3,nan,nan,3.97,3.65,nan,nan,nan,nan,-31.13327919,-29.20017977,nan,0.9371,73.09,28.0,205.0,Acetamide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0041,ComBat,COCCOCCOCCOCCOC,TEGDME,143-24-8,nan,nan,7.79,3.418,nan,nan,nan,nan,-39.90902942,-37.49121028,nan,1.00711,222.28,-30.0,275.3,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0042,ComBat,COCCOC,DME,110-71-4,20.0,nan,7.2,0.46,nan,nan,nan,nan,-24.58814712,-25.17106208,nan,0.868,90.12,-57.82777778,84.95,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0043,ComBat,COCCOCCOC,DEGDME,111-96-6,24.0,nan,7.23,1.089,nan,nan,nan,nan,-24.99821889,-23.90980054,nan,0.945,134.17,-67.82777778,160.5055556,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0044,ComBat,COS(=O)OC,DMS,616-42-2,nan,nan,21.89,0.8732,nan,nan,nan,nan,-28.24032828,-28.59862667,nan,1.2054,110.13,nan,126.0,Sulfite,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0045,ComBat,COCCOCCOCCOC,G3,112-49-2,nan,nan,7.5,2.058,nan,nan,nan,nan,-39.63789122,-35.4611801,nan,0.99,178.23,-45.05,216.0611111,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0046,ComBat,COCCOCC(C(F)F)(F)F,TFPG,76127-08-7,nan,nan,nan,nan,nan,nan,nan,nan,-33.90675233,-33.99348894,nan,1.2,190.14,nan,141.2,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0047,ComBat,CC(C)(C)OC,MTBE,1634-04-4,nan,nan,4.5,0.361,nan,nan,nan,nan,-26.84553553,-26.56793696,nan,0.7405,88.15,-109.05,55.17222222,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0048,ComBat,CC(C)OC(C)C,DIPE,108-20-3,nan,nan,3.95,0.273,nan,nan,nan,nan,-27.42595608,-27.78499495,nan,0.724,102.17,-86.16111111,68.83888889,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0049,ComBat,CCCCCCOC,HME,7/3/47,nan,nan,nan,nan,nan,nan,nan,nan,-26.20251427,-27.60268114,nan,0.7661,116.2,nan,126.1,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0050,ComBat,CCC#N,PRN,107-12-0,16.1,nan,27.95,0.454,nan,nan,nan,nan,-23.0627443,-22.84184267,nan,0.802,55.08,-91.71666667,97.17222222,Nitrile,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0051,ComBat,CC(=O)OC,MA,79-20-9,16.5,nan,6.68,0.364,nan,nan,nan,nan,-18.75313325,-19.90887256,nan,0.927,74.08,-97.82777778,56.83888889,Acetate,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0052,ComBat,CSSC,DMDS,624-92-0,40.0,nan,9.77,0.62,nan,nan,nan,nan,-16.69919308,-19.26089761,nan,1.065,94.2,-84.77222222,109.6722222,Sulfide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0053,ComBat,C1CCOC1,THF,109-99-9,20.0,nan,7.36,0.53,nan,nan,nan,nan,-27.42162427,-28.31084084,nan,0.888,72.11,-108.55,66.06111111,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0054,ComBat,CC#N,ACN,75-05-8,14.1,nan,22.23,0.35,nan,nan,nan,nan,-22.47389859,-21.69228386,4.39e-05,0.787,41.05,-45.05,81.56111111,Nitrile,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0055,ComBat,CC1CCCO1,METHF,96-47-9,12.0,nan,6.97,0.4853,nan,nan,nan,nan,-28.06853494,-29.32826155,nan,0.848965,86.13,-136.732,78.0,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
