cycle,fade_rate_deer_pct,fade_rate_fresh_pct,capacity_deer_pct,capacity_fresh_pct,sigma_lif_S_m,sigma_native_S_m
0,0.04202,0.072,100.0,100.0,4.10e-05,1.00e-06
1,0.04202,0.072,99.958,99.928,4.10e-05,1.00e-06
2,0.04202,0.072,99.916,99.856,4.10e-05,1.00e-06
3,0.04202,0.072,99.874,99.784,4.10e-05,1.00e-06
4,0.04202,0.072,99.832,99.712,4.10e-05,1.00e-06
5,0.04202,0.072,99.79,99.64,4.10e-05,1.00e-06
6,0.04202,0.072,99.748,99.568,4.10e-05,1.00e-06
7,0.04202,0.072,99.706,99.496,4.10e-05,1.00e-06
8,0.04202,0.072,99.664,99.424,4.10e-05,1.00e-06
9,0.04202,0.072,99.622,99.352,4.10e-05,1.00e-06
10,0.04202,0.072,99.58,99.28,4.10e-05,1.00e-06
11,0.04202,0.072,99.538,99.208,4.10e-05,1.00e-06
12,0.04202,0.072,99.496,99.136,4.10e-05,1.00e-06
13,0.04202,0.072,99.454,99.064,4.10e-05,1.00e-06
14,0.04202,0.072,99.412,98.992,4.10e-05,1.00e-06
15,0.04202,0.072,99.37,98.92,4.10e-05,1.00e-06
16,0.04202,0.072,99.328,98.848,4.10e-05,1.00e-06
17,0.04202,0.072,99.286,98.776,4.10e-05,1.00e-06
18,0.04202,0.072,99.244,98.704,4.10e-05,1.00e-06
19,0.04202,0.072,99.202,98.632,4.10e-05,1.00e-06
20,0.04202,0.072,99.16,98.56,4.10e-05,1.00e-06
21,0.04202,0.072,99.118,98.488,4.10e-05,1.00e-06
22,0.04202,0.072,99.076,98.416,4.10e-05,1.00e-06
23,0.04202,0.072,99.033,98.344,4.10e-05,1.00e-06
24,0.04202,0.072,98.991,98.272,4.10e-05,1.00e-06
25,0.04202,0.072,98.949,98.2,4.10e-05,1.00e-06
26,0.04202,0.072,98.907,98.128,4.10e-05,1.00e-06
27,0.04202,0.072,98.865,98.056,4.10e-05,1.00e-06
28,0.04202,0.072,98.823,97.984,4.10e-05,1.00e-06
29,0.04202,0.072,98.781,97.912,4.10e-05,1.00e-06
30,0.04202,0.072,98.739,97.84,4.10e-05,1.00e-06
31,0.04202,0.072,98.697,97.768,4.10e-05,1.00e-06
32,0.04202,0.072,98.655,97.696,4.10e-05,1.00e-06
33,0.04202,0.072,98.613,97.624,4.10e-05,1.00e-06
34,0.04202,0.072,98.571,97.552,4.10e-05,1.00e-06
35,0.04202,0.072,98.529,97.48,4.10e-05,1.00e-06
36,0.04202,0.072,98.487,97.408,4.10e-05,1.00e-06
37,0.04202,0.072,98.445,97.336,4.10e-05,1.00e-06
38,0.04202,0.072,98.403,97.264,4.10e-05,1.00e-06
39,0.04202,0.072,98.361,97.192,4.10e-05,1.00e-06
40,0.04202,0.072,98.319,97.12,4.10e-05,1.00e-06
41,0.04202,0.072,98.277,97.048,4.10e-05,1.00e-06
42,0.04202,0.072,98.235,96.976,4.10e-05,1.00e-06
43,0.04202,0.072,98.193,96.904,4.10e-05,1.00e-06
44,0.04202,0.072,98.151,96.832,4.10e-05,1.00e-06
45,0.04202,0.072,98.109,96.76,4.10e-05,1.00e-06
46,0.04202,0.072,98.067,96.688,4.10e-05,1.00e-06
47,0.04202,0.072,98.025,96.616,4.10e-05,1.00e-06
48,0.04202,0.072,97.983,96.544,4.10e-05,1.00e-06
49,0.04202,0.072,97.941,96.472,4.10e-05,1.00e-06
50,0.04202,0.072,97.899,96.4,4.10e-05,1.00e-06
51,0.04202,0.072,97.857,96.328,4.10e-05,1.00e-06
52,0.04202,0.072,97.815,96.256,4.10e-05,1.00e-06
53,0.04202,0.072,97.773,96.184,4.10e-05,1.00e-06
54,0.04202,0.072,97.731,96.112,4.10e-05,1.00e-06
55,0.04202,0.072,97.689,96.04,4.10e-05,1.00e-06
56,0.04202,0.072,97.647,95.968,4.10e-05,1.00e-06
57,0.04202,0.072,97.605,95.896,4.10e-05,1.00e-06
58,0.04202,0.072,97.563,95.824,4.10e-05,1.00e-06
59,0.04202,0.072,97.521,95.752,4.10e-05,1.00e-06
60,0.04202,0.072,97.479,95.68,4.10e-05,1.00e-06
61,0.04202,0.072,97.437,95.608,4.10e-05,1.00e-06
62,0.04202,0.072,97.395,95.536,4.10e-05,1.00e-06
63,0.04202,0.072,97.353,95.464,4.10e-05,1.00e-06
64,0.04202,0.072,97.311,95.392,4.10e-05,1.00e-06
65,0.04202,0.072,97.269,95.32,4.10e-05,1.00e-06
66,0.04202,0.072,97.227,95.248,4.10e-05,1.00e-06
67,0.04202,0.072,97.185,95.176,4.10e-05,1.00e-06
68,0.04202,0.072,97.142,95.104,4.10e-05,1.00e-06
69,0.04202,0.072,97.1,95.032,4.10e-05,1.00e-06
70,0.04202,0.072,97.058,94.96,4.10e-05,1.00e-06
71,0.04202,0.072,97.016,94.888,4.10e-05,1.00e-06
72,0.04202,0.072,96.974,94.816,4.10e-05,1.00e-06
73,0.04202,0.072,96.932,94.744,4.10e-05,1.00e-06
74,0.04202,0.072,96.89,94.672,4.10e-05,1.00e-06
75,0.04202,0.072,96.848,94.6,4.10e-05,1.00e-06
76,0.04202,0.072,96.806,94.528,4.10e-05,1.00e-06
77,0.04202,0.072,96.764,94.456,4.10e-05,1.00e-06
78,0.04202,0.072,96.722,94.384,4.10e-05,1.00e-06
79,0.04202,0.072,96.68,94.312,4.10e-05,1.00e-06
80,0.04202,0.072,96.638,94.24,4.10e-05,1.00e-06
81,0.04202,0.072,96.596,94.168,4.10e-05,1.00e-06
82,0.04202,0.072,96.554,94.096,4.10e-05,1.00e-06
83,0.04202,0.072,96.512,94.024,4.10e-05,1.00e-06
84,0.04202,0.072,96.47,93.952,4.10e-05,1.00e-06
85,0.04202,0.072,96.428,93.88,4.10e-05,1.00e-06
86,0.04202,0.072,96.386,93.808,4.10e-05,1.00e-06
87,0.04202,0.072,96.344,93.736,4.10e-05,1.00e-06
88,0.04202,0.072,96.302,93.664,4.10e-05,1.00e-06
89,0.04202,0.072,96.26,93.592,4.10e-05,1.00e-06
90,0.04202,0.072,96.218,93.52,4.10e-05,1.00e-06
91,0.04202,0.072,96.176,93.448,4.10e-05,1.00e-06
92,0.04202,0.072,96.134,93.376,4.10e-05,1.00e-06
93,0.04202,0.072,96.092,93.304,4.10e-05,1.00e-06
94,0.04202,0.072,96.05,93.232,4.10e-05,1.00e-06
95,0.04202,0.072,96.008,93.16,4.10e-05,1.00e-06
96,0.04202,0.072,95.966,93.088,4.10e-05,1.00e-06
97,0.04202,0.072,95.924,93.016,4.10e-05,1.00e-06
98,0.04202,0.072,95.882,92.944,4.10e-05,1.00e-06
99,0.04202,0.072,95.84,92.872,4.10e-05,1.00e-06
100,0.04202,0.072,95.798,92.8,4.10e-05,1.00e-06
